url,title,status,indexable,in_sitemap,proposed_destination,action,reason
https://painmgmtgroup.com/,Pain Management Group – Balanced Pain Treatment Centers,200,yes,yes,/,keep,
https://painmgmtgroup.com/2017/12/,December 2017 – Pain Management Group,200,yes,no,/news/,301,"blog date archive, linked from every post sidebar"
https://painmgmtgroup.com/2017/12/07/,"December 7, 2017 – Pain Management Group",200,yes,no,/news/,301,"blog date archive, linked from every post sidebar"
https://painmgmtgroup.com/2018/01/,January 2018 – Pain Management Group,200,yes,no,/news/,301,"blog date archive, linked from every post sidebar"
https://painmgmtgroup.com/2018/01/16/,"January 16, 2018 – Pain Management Group",200,yes,no,/news/,301,"blog date archive, linked from every post sidebar"
https://painmgmtgroup.com/2019/01/,January 2019 – Pain Management Group,200,yes,no,/news/,301,"blog date archive, linked from every post sidebar"
https://painmgmtgroup.com/2019/01/31/,"January 31, 2019 – Pain Management Group",200,yes,no,/news/,301,"blog date archive, linked from every post sidebar"
https://painmgmtgroup.com/2022/08/,August 2022 – Pain Management Group,200,yes,no,/news/,301,"blog date archive, linked from every post sidebar"
https://painmgmtgroup.com/2022/08/29/,"August 29, 2022 – Pain Management Group",200,yes,no,/news/,301,"blog date archive, linked from every post sidebar"
https://painmgmtgroup.com/about-us/,About Us – Pain Management Group,200,yes,yes,/about-us/,keep,
https://painmgmtgroup.com/about/,,301,no,no,/about-us/,301,existing live redirect; preserve
https://painmgmtgroup.com/author/pmg_admin/,pmg_admin – Pain Management Group,200,yes,yes,/news/,301,"blog author archive, in sitemap"
https://painmgmtgroup.com/blog-left-2column/,Blog Left 2Column – Pain Management Group,200,yes,yes,,retire,theme demo content; no internal links from real pages
https://painmgmtgroup.com/blog-left-sidebar/,News – Pain Management Group,200,yes,yes,/news/,301,news hub; /blog-left-sidebar/ is the live nav's Blog link
https://painmgmtgroup.com/blog-right-2column/,Blog Right 2Column – Pain Management Group,200,yes,yes,,retire,theme demo content; no internal links from real pages
https://painmgmtgroup.com/blog-right-sidebar/,Blog Right Sidebar – Pain Management Group,200,yes,yes,,retire,theme demo content; no internal links from real pages
https://painmgmtgroup.com/blog/,Blog – Pain Management Group,200,yes,yes,/news/,301,news hub; /blog-left-sidebar/ is the live nav's Blog link
https://painmgmtgroup.com/category/corporate/,Corporate – Pain Management Group,200,yes,yes,/news/,301,"blog category archive, linked from every post sidebar"
https://painmgmtgroup.com/category/stories/,Stories – Pain Management Group,200,yes,yes,/news/,301,"blog category archive, linked from every post sidebar"
